일자,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,,일자,,일자,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,1월,1월,2월,2월,일자,,,,
30,월,"봉사 교육(7~8교시)
졸업앨범촬영(실내)",목,"중간고사(1,2,3)",토,,화,"기말고사(1,2,3)",목,,수,30,,30,일,,수,,금,"재량휴업일(1,2)",월,전환기 프로그램(3),수,,토,,,,30,,,,
31,화,,,,일,,,,금,,목,31,,31,월,"흡연예방교육(2학년)
방과후 3기(~11/23)",,,토,,,,목,"동아리발표회(1~4)
봉사 2시간(5~6)",일,,,,31,,,,
수업일(1학년),,21,,22,,18,,21,,12,,,,수업일(1학년),,10,,20,,18,,19,,20,,1,,8,,,,,
수업일(2학년),,21,,22,,18,,21,,12,,,,수업일(2학년),,10,,20,,18,,19,,20,,1,,8,,,,,
수업일(3학년),,21,,22,,18,,21,,12,,,,수업일(3학년),,10,,20,,19,,19,,20,,1,,8,,,,,
학기누계(1학년),,21,,43,,61,,82,,94,,,,학기누계(1학년),,10,,30,,48,,67,,87,,88,,96,,,,,
학기누계(2학년),,21,,43,,61,,82,,94,,,,학기누계(2학년),,10,,30,,48,,67,,87,,88,,96,,,,,
학기누계(3학년),,21,,43,,61,,82,,94,,"1,2학년",3학년,학기누계(3학년),,10,,30,,49,,68,,88,,89,,97,,"1,2학년",3학년,학년,수업일수
"1
2
3
학
년",월,4,,4,,2,,5,,2,,17,17,"1
2
3
학
년",월,2,,4,,3,3,5,5,3,,1,,1,1 ,19 ,19 ,1학년,190
,화,5,,4,,3,,5,,2,,19,19,,화,2,,5,,4,4,4,4,4,,,,1,1 ,20 ,20 ,2학년,190
,수,4,,5,,4,,3,,3,,19,19,,수,2,,5,,4,4,4,4,5,,,,2,2 ,22 ,22 ,3학년,191
,목,4,,5,,4,,4,,3,,20,20,,목,2,,3,,5,5,3,3,5,,,,2,2 ,20 ,20 ,,
,금,4,,4,,5,5,4,,2,,19,19,,금,2,,3,,2,3,3,3,3,,,,2,2 ,15 ,16 ,,
,합계,21,,22,,18,,21,,12,,94,94,,합계,10,,20,,18,19,19,19,20,,1,,8,8 ,96 ,97 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
